first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Patrick,Mahomes,QB,,11/22/2020,Primetime,KC,LV,-7,56,31.5,8000,27,12,27.7,39.6,26.3,3.33,,
Travis,Kelce,TE,,11/22/2020,Primetime,KC,LV,-7,56,31.5,7700,30,6.1,23.2,29.9,19.5,2.67,,
Tom,Brady,QB,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,6600,2,5.4,22.8,39.9,19.4,2.9,,
Derek,Carr,QB,,11/22/2020,Primetime,LV,KC,7,56,24.5,5100,18,7.2,16.6,28,18.9,3.57,,
Tyreek,Hill,WR,,11/22/2020,Primetime,KC,LV,-7,56,31.5,8000,26,5.5,20.8,37.1,18.6,2.33,,
Jared,Goff,QB,,11/23/2020,Primetime,LAR,TB,4.5,48,21.8,5300,11,14.5,18.6,28.4,18.4,3.17,,
Cooper,Kupp,WR,,11/23/2020,Primetime,LAR,TB,4.5,48,21.8,6100,6,4.1,12.7,26,16.6,2.52,,
Josh,Jacobs,RB,,11/22/2020,Primetime,LV,KC,7,56,24.5,7100,24,6.1,19,34.6,16.2,2.28,,
Darren,Waller,TE,,11/22/2020,Primetime,LV,KC,7,56,24.5,4800,8,6.7,12.1,17,15.4,2.75,,
Mike,Evans,WR,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,5800,1,2,10.9,19.7,14.7,2.33,,
Chris,Godwin,WR,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,5300,1,7.1,14.7,23.8,14.7,2.53,,
Robert,Woods,WR,,11/23/2020,Primetime,LAR,TB,4.5,48,21.8,5600,6,6.5,14.9,28.4,14.1,2.35,,
Clyde,Edwards-Helaire,RB,Q,11/22/2020,Primetime,KC,LV,-7,56,31.5,6000,3,6.1,13.7,25.9,14,2.22,,
Ronald,Jones II,RB,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,5800,11,4.8,17,31.1,13.1,2.02,,
Antonio,Brown,WR,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,5100,1,8.5,24.7,48.5,12,2.11,,
Leonard,Fournette,RB,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,4400,11,0,10.6,32.6,11.1,2.31,,
Rob,Gronkowski,TE,,11/23/2020,Primetime,TB,LAR,-4.5,48,26.3,3900,14,1.2,12.9,18.8,10.9,2.42,,
Josh,Reynolds,WR,,11/23/2020,Primetime,LAR,TB,4.5,48,21.8,4500,6,6.6,12,17.4,10.2,2.32,,
Henry,Ruggs III,WR,,11/22/2020,Primetime,LV,KC,7,56,24.5,3600,10,1,8.1,23.8,10.1,2.53,,
Nelson,Agholor,WR,,11/22/2020,Primetime,LV,KC,7,56,24.5,4200,10,2.9,9.3,14.7,9.8,2.18,,
Darrell,Henderson Jr.,RB,,11/23/2020,Primetime,LAR,TB,4.5,48,21.8,4800,5,6.8,11.5,21.8,9.8,1.88,,
Hunter,Renfrow,WR,,11/22/2020,Primetime,LV,KC,7,56,24.5,3300,10,5,7.8,12.6,9.5,2.57,,
Le'Veon,Bell,RB,,11/22/2020,Primetime,KC,LV,-7,56,31.5,4200,3,6.6,10.2,13.3,8.8,2,,
Tyler,Higbee,TE,,11/23/2020,Primetime,LAR,TB,4.5,48,21.8,3400,24,3.2,5.8,9,7.9,2.19,,
Malcolm,Brown,RB,,11/23/2020,Primetime,LAR,TB,4.5,48,21.8,4500,5,3.4,9.4,19.1,7.6,1.55,,
Mecole,Hardman,WR,,11/22/2020,Primetime,KC,LV,-7,56,31.5,3800,26,0,9.3,22.6,7.2,1.71,,
