first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Deshaun,Watson,QB,,2020-11-26,Thu,HOU,DET,-3,51,27,7400,17,14.1,27.0,35.0,19.7,2.82
Ben,Roethlisberger,QB,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,6600,2,15.3,21.8,32.3,18.3,2.78
Lamar,Jackson,QB,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,6800,3,15.5,21.7,33.2,17.9,2.64
Ezekiel,Elliott,RB,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,6800,3,6.1,12.3,24.4,16.6,2.44
Matthew,Stafford,QB,,2020-11-26,Thu,DET,HOU,+3,51,24,5800,16,7.6,18.0,27.4,16.6,2.86
Andy,Dalton,QB,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,5600,5,0.0,12.2,33.8,16.3,2.91
Terry,McLaurin,WR,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,7000,29,13.4,19.3,28.5,15.8,2.26
Alex,Smith,QB,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,5400,12,1.6,10.7,19.0,15.3,2.83
Antonio,Gibson,RB,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,6000,7,9.5,17.3,23.8,14.8,2.47
D'Andre,Swift,RB,Q,2020-11-26,Thu,DET,HOU,+3,51,24,6500,32,5.3,18.2,32.3,14.7,2.37
Will,Fuller V,WR,,2020-11-26,Thu,HOU,DET,-3,51,27,6400,16,8.8,17.7,28.3,14.5,2.27
Diontae,Johnson,WR,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,6200,7,1.6,19.9,29.0,14.0,2.26
Kenny,Golladay,WR,Q,2020-11-26,Thu,DET,HOU,+3,51,24,6000,15,0.0,14.8,21.4,13.7,2.28
Amari,Cooper,WR,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,5700,3,4.1,19.0,35.4,13.5,2.37
JuJu,Smith-Schuster,WR,Q,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,5900,7,5.9,16.2,22.7,13.5,2.29
Chase,Claypool,WR,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,6100,7,0.8,13.5,21.3,13.3,2.18
James,Conner,RB,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,6200,29,4.0,10.6,15.0,13.2,2.13
Brandin,Cooks,WR,,2020-11-26,Thu,HOU,DET,-3,51,27,5300,16,9.9,14.9,21.8,12.3,2.32
Marvin,Jones Jr.,WR,,2020-11-26,Thu,DET,HOU,+3,51,24,5500,15,9.1,15.6,23.6,12.3,2.32
J.K.,Dobbins,RB,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,5500,11,2.4,9.5,18.1,11.6,2.11
CeeDee,Lamb,WR,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,5400,3,0.1,10.6,16.1,11.5,2.13
Duke,Johnson,RB,,2020-11-26,Thu,HOU,DET,-3,51,27,5700,28,1.4,6.0,9.8,11.3,1.98
T.J.,Hockenson,TE,,2020-11-26,Thu,DET,HOU,+3,51,24,4700,4,3.3,11.9,16.9,10.6,2.26
J.D.,McKissic,RB,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,5100,7,0.9,7.2,10.9,10.3,2.02
Mark,Andrews,TE,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,5200,3,4.1,9.8,20.6,10.1,1.94
Willie,Snead IV,WR,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,4300,18,4.2,12.0,23.4,9.5,2.21
Marquise,Brown,WR,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,4700,18,0.0,5.4,9.7,9.0,1.91
Gus,Edwards,RB,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,4000,11,0.6,8.5,14.7,8.6,2.15
Adrian,Peterson,RB,,2020-11-26,Thu,DET,HOU,+3,51,24,4700,32,1.8,3.9,7.3,8.5,1.77
Steelers,,DST,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,4200,21,2.0,11.2,18.0,8.4,2.00
Mark,Ingram II,RB,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,4400,11,0.2,4.7,10.7,8.3,1.89
Dez,Bryant,WR,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,3600,18,5.4,10.5,17.1,8.3,2.31
Tony,Pollard,RB,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,4000,3,3.2,7.3,12.0,8.3,2.08
Danny,Amendola,WR,Q,2020-11-26,Thu,DET,HOU,+3,51,24,3700,15,4.0,8.3,14.9,8.2,2.22
Kerryon,Johnson,RB,,2020-11-26,Thu,DET,HOU,+3,51,24,4300,32,0.3,5.6,9.5,8.1,1.98
Eric,Ebron,TE,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,4100,6,2.8,8.6,16.2,8.1,1.98
Dalton,Schultz,TE,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,3800,8,4.2,8.9,12.5,7.9,2.08
Cam,Sims,WR,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,3300,29,3.2,8.8,18.0,7.7,2.33
Benny,Snell Jr.,RB,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,4000,29,0.1,4.8,9.1,7.5,1.88
Marvin,Hall,WR,,2020-11-26,Thu,DET,HOU,+3,51,24,3900,15,0.0,3.2,9.4,7.4,1.90
Michael,Gallup,WR,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,3500,3,0.0,5.8,13.1,7.2,2.06
Dontrelle,Inman,WR,Q,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,3100,29,0.8,7.9,18.8,7.1,2.29
WAS Football Team,,DST,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,3700,32,0.0,7.2,15.0,7.1,1.92
Cowboys,,DST,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,2800,24,-3.0,3.4,13.0,7.0,2.50
Peyton,Barber,RB,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,4000,7,0.1,4.3,14.9,7.0,1.75
Steven,Sims Jr.,WR,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,3200,29,0.0,5.7,10.3,7.0,2.19
Ravens,,DST,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,3100,2,1.0,5.8,14.0,6.8,2.19
Anthony,McFarland Jr.,RB,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,4000,29,0.1,1.4,4.2,6.3,1.58
Texans,,DST,,2020-11-26,Thu,HOU,DET,-3,51,27,2700,27,-4.0,2.0,5.0,6.3,2.42
C.J.,Prosise,RB,,2020-11-26,Thu,HOU,DET,-3,51,27,4000,28,0.0,1.0,3.5,6.2,1.55
Patrick,Ricard,RB,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,4000,11,0.0,0.9,1.7,6.1,1.53
Jonathan,Williams,RB,,2020-11-26,Thu,DET,HOU,+3,51,24,4000,32,0.0,0.7,3.5,6.1,1.53
Jaylen,Samuels,RB,Q,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,4000,29,0.0,0.4,1.4,6.0,1.50
Rico,Dowdle,RB,,2020-11-26,Thu,DAL,WAS,-2.5,46.5,24.5,4000,3,0.0,0.3,1.3,6.0,1.50
Jason,Cabinda,RB,,2020-11-26,Thu,DET,HOU,+3,51,24,4000,32,0.0,0.5,1.4,6.0,1.50
Cullen,Gillaspia,RB,Q,2020-11-26,Thu,HOU,DET,-3,51,27,4000,28,0.0,0.3,1.6,6.0,1.50
Trey,Edmunds,RB,Q,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,4000,29,0.0,0.3,1.7,6.0,1.50
Justice,Hill,RB,,2020-11-26,Thu,BAL,PIT,+3.5,45.5,21,4000,11,0.0,0.3,1.3,6.0,1.50
Logan,Thomas,TE,,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,3500,2,1.4,6.1,13.7,6.0,1.71
Scottie,Phillips,RB,,2020-11-26,Thu,HOU,DET,-3,51,27,4000,28,0.0,0.0,0.0,5.9,1.48
Buddy,Howell,RB,,2020-11-26,Thu,HOU,DET,-3,51,27,4000,28,0.0,0.0,0.0,5.9,1.48
Derek,Watt,RB,,2020-11-26,Thu,PIT,BAL,-3.5,45.5,24.5,4000,29,0.0,0.0,0.0,5.9,1.48
Lions,,DST,,2020-11-26,Thu,DET,HOU,+3,51,24,2200,6,-2.0,2.4,6.0,5.8,2.64
Quintez,Cephus,WR,,2020-11-26,Thu,DET,HOU,+3,51,24,3100,15,0.0,1.8,5.1,5.6,1.81
Darren,Fells,TE,,2020-11-26,Thu,HOU,DET,-3,51,27,2700,21,0.0,6.4,13.7,5.4,1.86
Jordan,Akins,TE,,2020-11-26,Thu,HOU,DET,-3,51,27,2900,21,1.5,6.2,13.3,5.0,1.85
Randall,Cobb,WR,O,2020-11-26,Thu,HOU,DET,-3,51,27,3400,16,4.3,10.2,19.5,0.0,0.00
Emanuel,Hall,WR,O,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,3000,29,,,,0.0,0.00
Kelvin,Harmon,WR,O,2020-11-26,Thu,WAS,DAL,+2.5,46.5,22,3000,29,4.0,6.7,10.8,0.0,0.00
